"","iso_a3","country"
"1","AFG","Afghanistan"
"2","ALB","Albania"
"3","DZA","Algeria"
"4","AND","Andorra"
"5","AGO","Angola"
"6","ATG","Antigua and Barbuda"
"7","ARG","Argentina"
"8","ARM","Armenia"
"9","AUS","Australia"
"10","AUT","Austria"
"11","AZE","Azerbaijan"
"12","BHS","Bahamas"
"13","BHR","Bahrain"
"14","BGD","Bangladesh"
"15","BRB","Barbados"
"16","BLR","Belarus"
"17","BEL","Belgium"
"18","BLZ","Belize"
"19","BEN","Benin"
"20","BTN","Bhutan"
"21","BOL","Bolivia"
"22","BIH","Bosnia and Herzegovina"
"23","BWA","Botswana"
"24","BRA","Brazil"
"25","BRN","Brunei"
"26","BGR","Bulgaria"
"27","BFA","Burkina Faso"
"28","MMR","Burma"
"29","BDI","Burundi"
"30","CPV","Cabo Verde"
"31","KHM","Cambodia"
"32","CMR","Cameroon"
"33","CAN","Canada"
"34","CAF","Central African Republic"
"35","TCD","Chad"
"36","CHL","Chile"
"37","CHN","China"
"38","COL","Colombia"
"39","COM","Comoros"
"40","COG","Congo (Brazzaville)"
"41","COD","Congo (Kinshasa)"
"42","CRI","Costa Rica"
"43","CIV","Cote d'Ivoire"
"44","HRV","Croatia"
"45","CUB","Cuba"
"46","CYP","Cyprus"
"47","CZE","Czechia"
"48","DNK","Denmark"
"49",NA,"Diamond Princess"
"50","DJI","Djibouti"
"51","DMA","Dominica"
"52","DOM","Dominican Republic"
"53","ECU","Ecuador"
"54","EGY","Egypt"
"55","SLV","El Salvador"
"56","GNQ","Equatorial Guinea"
"57","ERI","Eritrea"
"58","EST","Estonia"
"59","SWZ","Eswatini"
"60","ETH","Ethiopia"
"61","FJI","Fiji"
"62","FIN","Finland"
"63","FRA","France"
"64","GAB","Gabon"
"65","GMB","Gambia"
"66","GEO","Georgia"
"67","DEU","Germany"
"68","GHA","Ghana"
"69","GRC","Greece"
"70","GRD","Grenada"
"71","GTM","Guatemala"
"72","GIN","Guinea"
"73","GNB","Guinea-Bissau"
"74","GUY","Guyana"
"75","HTI","Haiti"
"76","VAT","Holy See"
"77","HND","Honduras"
"78","HUN","Hungary"
"79","ISL","Iceland"
"80","IND","India"
"81","IDN","Indonesia"
"82","IRN","Iran"
"83","IRQ","Iraq"
"84","IRL","Ireland"
"85","ISR","Israel"
"86","ITA","Italy"
"87","JAM","Jamaica"
"88","JPN","Japan"
"89","JOR","Jordan"
"90","KAZ","Kazakhstan"
"91","KEN","Kenya"
"92","KOR","Korea, South"
"93","XKS","Kosovo"
"94","KWT","Kuwait"
"95","KGZ","Kyrgyzstan"
"96","LAO","Laos"
"97","LVA","Latvia"
"98","LBN","Lebanon"
"99","LSO","Lesotho"
"100","LBR","Liberia"
"101","LBY","Libya"
"102","LIE","Liechtenstein"
"103","LTU","Lithuania"
"104","LUX","Luxembourg"
"105","MDG","Madagascar"
"106","MWI","Malawi"
"107","MYS","Malaysia"
"108","MDV","Maldives"
"109","MLI","Mali"
"110","MLT","Malta"
"111","MRT","Mauritania"
"112","MUS","Mauritius"
"113","MEX","Mexico"
"114","MDA","Moldova"
"115","MCO","Monaco"
"116","MNG","Mongolia"
"117","MNE","Montenegro"
"118","MAR","Morocco"
"119","MOZ","Mozambique"
"120",NA,"MS Zaandam"
"121","NAM","Namibia"
"122","NPL","Nepal"
"123","NLD","Netherlands"
"124","NZL","New Zealand"
"125","NIC","Nicaragua"
"126","NER","Niger"
"127","NGA","Nigeria"
"128","MKD","North Macedonia"
"129","NOR","Norway"
"130","OMN","Oman"
"131","PAK","Pakistan"
"132","PAN","Panama"
"133","PNG","Papua New Guinea"
"134","PRY","Paraguay"
"135","PER","Peru"
"136","PHL","Philippines"
"137","POL","Poland"
"138","PRT","Portugal"
"139","QAT","Qatar"
"140","ROU","Romania"
"141","RUS","Russia"
"142","RWA","Rwanda"
"143","KNA","Saint Kitts and Nevis"
"144","LCA","Saint Lucia"
"145","VCT","Saint Vincent and the Grenadines"
"146","SMR","San Marino"
"147","STP","Sao Tome and Principe"
"148","SAU","Saudi Arabia"
"149","SEN","Senegal"
"150","SRB","Serbia"
"151","SYC","Seychelles"
"152","SLE","Sierra Leone"
"153","SGP","Singapore"
"154","SVK","Slovakia"
"155","SVN","Slovenia"
"156","SOM","Somalia"
"157","ZAF","South Africa"
"158","SSD","South Sudan"
"159","ESP","Spain"
"160","LKA","Sri Lanka"
"161","SDN","Sudan"
"162","SUR","Suriname"
"163","SWE","Sweden"
"164","CHE","Switzerland"
"165","SYR","Syria"
"166","TWN","Taiwan*"
"167","TJK","Tajikistan"
"168","TZA","Tanzania"
"169","THA","Thailand"
"170","TLS","Timor-Leste"
"171","TGO","Togo"
"172","TTO","Trinidad and Tobago"
"173","TUN","Tunisia"
"174","TUR","Turkey"
"175","UGA","Uganda"
"176","UKR","Ukraine"
"177","ARE","United Arab Emirates"
"178","GBR","United Kingdom"
"179","URY","Uruguay"
"180","USA","US"
"181","UZB","Uzbekistan"
"182","VEN","Venezuela"
"183","VNM","Vietnam"
"184","XWB","West Bank and Gaza"
"185","ESH","Western Sahara"
"186","YEM","Yemen"
"187","ZMB","Zambia"
"188","ZWE","Zimbabwe"
